pc,S.N.,name,party,EVM Votes,Postal Votes,Votes_Total,% of Votes
ARANI,8,"GAJENDRAN, J.",Independent,3393,7,3400,0.3
ARANI,9,"KARVANNAN, K.",Independent,3032,4,3036,0.27
ARANI,10,"GAJENDIRAN, E.",Independent,2612,1,2613,0.23
ARANI,11,"KOTTAI VENKATESAN, M.",Independent,1893,15,1908,0.17
ARANI,12,"SENTHIL KUMAR, D.",Independent,1469,6,1475,0.13
ARANI,13,"SEKAR, N.",Independent,1397,3,1400,0.12
ARANI,14,SAKTHIVEL A,Thakkam Katchi,1174,12,1186,0.1
ARANI,15,"GANESH, P.",Independent,978,2,980,0.09
ARANI,16,NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,921,6,927,0.08
ARANI,17,CAPTAIN SETTU M,Viro Ke Vir Indian Party,881,41,922,0.08
ARANI,18,"JAISANKAR, M.",Independent,836,4,840,0.07
ARANI,19,EZHIL ARASU M,Independent,741,12,753,0.07
ARANI,20,BABU N,Independent,669,5,674,0.06
ARANI,21,"DURUGAN, M.",United Republican Party of India,596,8,604,0.05
ARANI,22,MOHMMAD SIDDIQ M H,Independent,525,3,528,0.05
ARANI,23,"DHARANI, D.",Independent,466,2,468,0.04
ARANI,24,"MANAVALAN, A.",Anna MGR Dravida Makkal Kalgam,433,47,480,0.04
ARANI,25,"ARUL, M.",Independent,429,81,510,0.04
ARANI,26,"MURUGESAN, D.",Independent,398,5,403,0.04
ARANI,27,"ELLAPPAN, R.",Independent,375,3,378,0.03
ARANI,28,"FEROZKHAN, A.",Independent,295,3,298,0.03
ARANI,29,"DHAMODHARAN, G.",Independent,237,5,242,0.02
ARANI,30,NOTA,None of the Above,9084,104,9188,0.81
VILUPPURAM,1,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,474230,2803,477033,41.39
VILUPPURAM,2,BHAGYARAJ. J,AIADMK,404503,1827,406330,35.25
VILUPPURAM,3,MURALI SANKAR. S,Pattali Makkal Katchi,180020,1862,181882,15.78
VILUPPURAM,4,KALANCHIYAM. M,Naam Tamilar,56766,476,57242,4.97
VILUPPURAM,5,KARUNCHIRUTHAI KALIYAMURTHY. K,Bahujan Samaj Party,3883,37,3920,0.34
VILUPPURAM,6,ARUMUGAM. M,United Republican Party of India,3487,17,3504,0.3
VILUPPURAM,7,DHARMA. K,Independent,2375,7,2382,0.21
VILUPPURAM,8,VIVEKANANDHAN. E,Independent,1945,8,1953,0.17
VILUPPURAM,9,ARASAN. K,Independent,1835,7,1842,0.16
VILUPPURAM,10,VIGNESVARAN. R,Independent,1643,13,1656,0.14
VILUPPURAM,11,SURESH. S,Independent,1374,23,1397,0.12
VILUPPURAM,12,PERIYAN. A,Independent,1041,8,1049,0.09
VILUPPURAM,13,GUNASEKARAN. K,Independent,960,3,963,0.08
VILUPPURAM,14,VIJAYAN. A,Independent,859,2,861,0.07
VILUPPURAM,15,NAGARAJ. A,Independent,669,5,674,0.06
VILUPPURAM,16,SURESH. K,Independent,592,6,598,0.05
VILUPPURAM,17,SATHIYARAJ. N,Independent,412,3,415,0.04
VILUPPURAM,18,NOTA,None of the Above,8874,92,8966,0.78
KALLAKURICHI,1,MALAIYARASAN D,DMK,558346,3243,561589,44.94
KALLAKURICHI,2,KUMARAGURU R,AIADMK,505577,2228,507805,40.64
KALLAKURICHI,3,JAGADESAN A,Naam Tamilar,73098,554,73652,5.89
KALLAKURICHI,4,DEVADASS RAMASAMY,Pattali Makkal Katchi,70633,657,71290,5.71
KALLAKURICHI,5,PRABU C,Independent,4268,7,4275,0.34
KALLAKURICHI,6,BALAKRISHNAN P,Independent,3468,1,3469,0.28
KALLAKURICHI,7,JEEVANRAJ N,Bahujan Samaj Party,3075,21,3096,0.25
KALLAKURICHI,8,MAYILAMPARAI MARI A,Independent,2891,1,2892,0.23
KALLAKURICHI,9,NATTANMAI GUNASEKARANA A.S,Anna Makkal Katchi,2497,8,2505,0.2
KALLAKURICHI,10,KUMARAGURU N,Independent,2226,1,2227,0.18
KALLAKURICHI,11,MURUGESAN M,Independent,2223,2,2225,0.18
KALLAKURICHI,12,SUBRAMANIAN R K,Independent,868,4,872,0.07
KALLAKURICHI,13,ARUL INIYAN A,Independent,772,12,784,0.06
KALLAKURICHI,14,VENKATRAMAN J,Naadaalum Makkal Katchi,687,4,691,0.06
KALLAKURICHI,15,KAMALAKANNAN M,Independent,629,1,630,0.05
KALLAKURICHI,16,GOVINDARAJ S R,Independent,533,25,558,0.04
KALLAKURICHI,17,PALANIYAMMAL S,Desiya Makkal Sakthi Katchi,533,15,548,0.04
KALLAKURICHI,18,SIGAMANI A,Independent,515,27,542,0.04
KALLAKURICHI,19,RAJASEKAR K,Independent,501,10,511,0.04
KALLAKURICHI,20,JAYABAL PM,Independent,473,3,476,0.04
KALLAKURICHI,21,RAJAMANICKAM C,Independent,398,1,399,0.03
KALLAKURICHI,22,NOTA,None of the Above,8351,181,8532,0.68
SALEM,1,SELVAGANAPATHI T M,DMK,562022,4063,566085,43.38
SALEM,2,VIGNESH P,AIADMK,492958,2770,495728,37.99
SALEM,3,ANNADURAI N,Pattali Makkal Katchi,125829,1310,127139,9.74
SALEM,4,DR MANOJKUMAR G,Naam Tamilar,75636,571,76207,5.84
SALEM,5,BHALAJI M,Independent,3437,4,3441,0.26
SALEM,6,MURALI S,Bahujan Samaj Party,3333,39,3372,0.26
SALEM,7,PALANIVEL K,Independent,2853,3,2856,0.22
SALEM,8,JEGANNATHAN A,Independent,2384,27,2411,0.18
SALEM,9,RAJA S,Independent,1442,14,1456,0.11
SALEM,10,MUTHUSAMY S,Independent,1193,4,1197,0.09
SALEM,11,ER PRABAKARAN S,Independent,1151,4,1155,0.09
SALEM,12,SHANMUGAM G,Independent,1144,3,1147,0.09
SALEM,13,SANTHALINGAM C,Independent,1079,19,1098,0.08
SALEM,14,SUTHARSANAM S,Aravor Munnetra Kazhagam,1030,6,1036,0.08
SALEM,15,AMBEDKAR C,Ambedkarite Party of India,944,17,961,0.07
SALEM,16,RAMACHANDRAN C,Dhesiya Makkal Kazhagam,748,10,758,0.06
SALEM,17,GOVINDHAN A,Independent,686,7,693,0.05
SALEM,18,MANICKAM R,Ulzaipali Makkal Katchy,533,4,537,0.04
SALEM,19,AHAMED SHAHJAHAN M,Independent,453,13,466,0.04
SALEM,20,INTHRAJITHKUPTHA G,Independent,425,7,432,0.03
SALEM,21,RAMASUNDARAM D,Independent,419,3,422,0.03
SALEM,22,KARUNAKARAN M,Independent,359,18,377,0.03
SALEM,23,RAJA A,Independent,329,3,332,0.03
SALEM,24,VIGNESH M,Independent,324,4,328,0.03
SALEM,25,JOTHILINGAM M,Independent,314,2,316,0.02
SALEM,26,NOTA,None of the Above,14677,217,14894,1.14
NAMAKKAL,1,MATHESWARAN V S,DMK,457695,4341,462036,40.31
NAMAKKAL,2,TAMILMANI S,AIADMK,429358,3566,432924,37.77
NAMAKKAL,3,DR RAMALINGAM K P,BJP,103577,1113,104690,9.13
NAMAKKAL,4,KANIMOZHI G,Naam Tamilar,94895,682,95577,8.34
NAMAKKAL,5,DEEPAN CHAKKRAVARTHI S,Independent,3546,33,3579,0.31
NAMAKKAL,6,RAJENDRAN C,Viduthalai Kalam Katchi,2592,7,2599,0.23
NAMAKKAL,7,NATARAJAN M,Independent,2565,23,2588,0.23
NAMAKKAL,8,RAMESH T,Ahimsa Socialist Party,2412,9,2421,0.21
NAMAKKAL,9,EZHIL SELVAN P,Tamilaga Makkal Thannurimai Katchi,2149,16,2165,0.19
NAMAKKAL,10,RAMAN V,Bahujan Samaj Party,2137,20,2157,0.19
NAMAKKAL,11,UTHAYAKUMAR P,Independent,1899,2,1901,0.17
NAMAKKAL,12,KANDASAMY A M,Independent,1510,4,1514,0.13
NAMAKKAL,13,RAMASAMY P,Independent,1338,12,1350,0.12
NAMAKKAL,14,KARTHI S,Independent,1332,2,1334,0.12
NAMAKKAL,15,RAMESH T R,Independent,1317,8,1325,0.12
NAMAKKAL,16,SATHEESH G,Independent,1284,8,1292,0.11
NAMAKKAL,17,RAMASAMY N,Independent,1243,7,1250,0.11
NAMAKKAL,18,MADHESWARAN V,Independent,1144,3,1147,0.1
NAMAKKAL,19,DR GURUNATHAN S,Independent,1048,23,1071,0.09
NAMAKKAL,20,KARTHIKEYAN S,Independent,918,2,920,0.08
NAMAKKAL,21,NALLATHAMBI P,Independent,769,1,770,0.07
NAMAKKAL,22,EASWARAMOORTHY M,Independent,758,10,768,0.07
NAMAKKAL,23,BALAJICHEZHIAN P,Independent,716,3,719,0.06
NAMAKKAL,24,RAVIKUMAR P,Ganasangam Party of India,633,4,637,0.06
NAMAKKAL,25,NAVEEN K,Independent,633,2,635,0.06
NAMAKKAL,26,DURAIRAJ C,Independent,590,2,592,0.05
NAMAKKAL,27,ARULMANI M,Independent,564,4,568,0.05
NAMAKKAL,28,THIYAGARAJAN R,Samaniya Makkal Nala Katchi,527,1,528,0.05
NAMAKKAL,29,VENNILA S,Independent,520,8,528,0.05
NAMAKKAL,30,KALIANNAN S,Independent,496,1,497,0.04
NAMAKKAL,31,KANDASAMY P,Independent,475,5,480,0.04
NAMAKKAL,32,MANIKKAM S,Ulzaipali Makkal Katchy,439,3,442,0.04
NAMAKKAL,33,MOORTHI J,Independent,385,4,389,0.03
NAMAKKAL,34,TAMILMANI A,Independent,352,2,354,0.03
NAMAKKAL,35,SELVARAJ K R,Independent,301,2,303,0.03
NAMAKKAL,36,SAKTHIVEL S,Independent,298,1,299,0.03
NAMAKKAL,37,NETAJIKAVIARASU V,Independent,287,1,288,0.03
NAMAKKAL,38,SIVAKUMAR V,Independent,244,2,246,0.02
NAMAKKAL,39,MOORTHY V,Independent,220,2,222,0.02
NAMAKKAL,40,GOPAL P,Independent,214,-,214,0.02
NAMAKKAL,41,NOTA,None of the Above,12736,248,12984,1.13
ERODE,1,K E PRAKASH,DMK,558849,3490,562339,51.43
ERODE,2,ASHOK KUMAR,AIADMK,323751,2022,325773,29.79
ERODE,3,KARMEGAN M,Naam Tamilar,82332,464,82796,7.57
ERODE,4,P VIJAYAKUMAR,TMC  (Moopanar),77319,592,77911,7.13
ERODE,5,P ESWARAN,Bahujan Samaj Party,5161,62,5223,0.48
ERODE,6,T V R AMIRTHALINGAM,Independent,4118,31,4149,0.38
ERODE,7,KEERTHANA M,Independent,3775,24,3799,0.35
ERODE,8,J GOPALAKRISHNAN,Independent,1949,6,1955,0.18
ERODE,9,S ANANTHI,Independent,1683,3,1686,0.15
ERODE,10,PRASATH CHITRARASU,Independent,1629,11,1640,0.15
ERODE,11,RAVICHANDRAN L,Independent,1378,2,1380,0.13
ERODE,12,P RAJENDRAN,Independent,973,3,976,0.09
ERODE,13,P KUPPUSAMY,Ulzaipali Makkal Katchy,945,5,950,0.09
ERODE,14,M SHANMUGAM,Independent,768,4,772,0.07
ERODE,15,R KUMARESAN,Independent,744,7,751,0.07
ERODE,16,N ASHOK KUMAR,Independent,689,1,690,0.06
ERODE,17,DHANALAKSHMI V,Naadaalum Makkal Katchi,675,4,679,0.06
ERODE,18,A T MUNUSAMY,Samaniya Makkal Nala Katchi,611,5,616,0.06
ERODE,19,K MAATHAN,Ganasangam Party of India,609,9,618,0.06
ERODE,20,B DHARMARAJ,Anti Corruption Dynamic Party,597,4,601,0.05
ERODE,21,ARUMUGA AC KANNAN,Independent,547,2,549,0.05
ERODE,22,M SABARINATHAN,Independent,525,6,531,0.05
ERODE,23,R DHANDAPANI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,502,2,504,0.05
ERODE,24,R KUMAR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,424,8,432,0.04
ERODE,25,R.MINNALMURUGESH,Independent,413,2,415,0.04
ERODE,26,K K VADUGANATHAN,Independent,398,1,399,0.04
ERODE,27,G MYLSAMY,Independent,301,-,301,0.03
ERODE,28,MYLVAKANAN D -,Independent,276,3,279,0.03
ERODE,29,M PRABAKARAN,Independent,274,2,276,0.03
ERODE,30,NARENDRANATH,Independent,272,-,272,0.02
ERODE,31,K SENTHIL KUMAR,Independent,177,1,178,0.02
ERODE,32,NOTA,None of the Above,13742,241,13983,1.28
TIRUPPUR,1,"SUBBARAYAN, K.",Communist Party of India,470195,2544,472739,41.38
TIRUPPUR,2,"ARUNACHALAM, P.",AIADMK,345326,1485,346811,30.35
TIRUPPUR,3,"MURUGANANDAM, A.P.",BJP,184066,1256,185322,16.22
TIRUPPUR,4,"SEETHALAKSHMI, M.K.",Naam Tamilar,95250,476,95726,8.38
TIRUPPUR,5,"VELUSAMY, A.",Independent,7089,36,7125,0.62
TIRUPPUR,6,"PALANI, V.",Bahujan Samaj Party,6013,41,6054,0.53
TIRUPPUR,7,"SATHISHKUMAR, N.",Independent,2315,21,2336,0.2
TIRUPPUR,8,"JANARTHANAM, P.",Tamilaga Makkal Thannurimai Katchi,1861,7,1868,0.16
TIRUPPUR,9,"KANNAN, M.",Independent,1752,13,1765,0.15
TIRUPPUR,10,"SENGUTTUVAN, M.R.",Independent,1560,7,1567,0.14
TIRUPPUR,11,"SUBRAMANI, N.",Independent,1341,9,1350,0.12
TIRUPPUR,12,"MALARVIZHI, G.",Rashtriya Samaj Paksha,1311,14,1325,0.12
TIRUPPUR,13,"KARTHIKEYAN, P.",Independent,810,14,824,0.07
TIRUPPUR,14,NOTA,None of the Above,17554,183,17737,1.55
NILGIRIS,1,RAJA A,DMK,470729,2483,473212,46.44
NILGIRIS,2,DR MURUGAN L,BJP,231111,1516,232627,22.83
NILGIRIS,3,LOGESH TAMILSELVAN D,AIADMK,219417,813,220230,21.61
NILGIRIS,4,JAYAKUMAR A,Naam Tamilar,58588,233,58821,5.77
NILGIRIS,5,VIJAYAKUMAR D,Independent,4805,3,4808,0.47
NILGIRIS,6,GANESHAMOORTHI A,Bahujan Samaj Party,3015,18,3033,0.3
NILGIRIS,7,BADRAN M,Ganasangam Party of India,2406,19,2425,0.24
NILGIRIS,8,SELVAN N,Independent,2038,16,2054,0.2
NILGIRIS,9,DHANABAL R,Independent,1906,22,1928,0.19
NILGIRIS,10,JAYANTHI M,Ambedkarite Party of India,1539,17,1556,0.15
NILGIRIS,11,MURUGAN Y,Independent,1408,5,1413,0.14
NILGIRIS,12,MURUGESAN,Independent,1057,2,1059,0.1
NILGIRIS,13,MALARMANNAN M,Samaniya Makkal Nala Katchi,813,7,820,0.08
NILGIRIS,14,SATHISH M,Independent,734,6,740,0.07
NILGIRIS,15,KRISHNA KUMAR,Independent,588,27,615,0.06
NILGIRIS,16,ANBHUGURU V,Independent,560,5,565,0.06
NILGIRIS,17,NOTA,None of the Above,12902,98,13000,1.28
COIMBATORE,1,GANAPATHY RAJKUMAR P,DMK,565428,2772,568200,41.39
COIMBATORE,2,ANNAMALAI K,BJP,447608,2524,450132,32.79
COIMBATORE,3,SINGAI G RAMACHANDRAN,AIADMK,235603,887,236490,17.23
COIMBATORE,4,KALAMANI JAGANATHAN,Naam Tamilar,82387,270,82657,6.02
COIMBATORE,5,VELMURUGAN K,Bahujan Samaj Party,2364,11,2375,0.17
COIMBATORE,6,SANJAYKUMAR S,Independent,1787,2,1789,0.13
COIMBATORE,7,ANNADURAI R,Independent,1767,5,1772,0.13
COIMBATORE,8,SURESH M,Independent,1472,2,1474,0.11
COIMBATORE,9,GOPALAKRISHNAN S,Independent,1196,3,1199,0.09
COIMBATORE,10,RAGHUL GANDHI K,Hindustan Janta Party,1170,6,1176,0.09
COIMBATORE,11,KARTHICK T,Independent,1070,3,1073,0.08
COIMBATORE,12,RAJKUMAR M,Independent,1067,1,1068,0.08
COIMBATORE,13,RAJKUMAR,Independent,1010,3,1013,0.07
COIMBATORE,14,RAJKUMAR G,Independent,888,4,892,0.06
COIMBATORE,15,SHANMUGAM K,Independent,881,1,882,0.06
COIMBATORE,16,KRISHNAN V,Independent,722,4,726,0.05
COIMBATORE,17,RAMACHANDRAN M,Independent,663,-,663,0.05
COIMBATORE,18,RAJAMANICKAM N,Independent,626,3,629,0.05
COIMBATORE,19,RAJKUMAR G B,Independent,607,4,611,0.04
COIMBATORE,20,KUMAR A,Ganasangam Party of India,548,3,551,0.04
COIMBATORE,21,SANGEETHA R,Naadaalum Makkal Katchi,491,1,492,0.04
COIMBATORE,22,RICHARD VINCENT,Viro Ke Vir Indian Party,489,3,492,0.04
COIMBATORE,23,SURIYAKUMAR K,Independent,443,4,447,0.03
COIMBATORE,24,ARUNKANTH V,Independent,432,6,438,0.03
COIMBATORE,25,ANANDHAKUMAR S,Rashtriya Samaj Paksha,417,2,419,0.03
COIMBATORE,26,RAMACHANDRAN R,Independent,368,1,369,0.03
COIMBATORE,27,MUTHUSAMY P P,Independent,368,1,369,0.03
COIMBATORE,28,PALANISAMYRAAJ M,Independent,313,3,316,0.02
COIMBATORE,29,PUSHPANANTHAM V,Tamizhaga Murpokku Makkal Katchi,303,2,305,0.02
COIMBATORE,30,DINESH K,Independent,284,1,285,0.02
COIMBATORE,31,PREMKUMAR P,Independent,281,2,283,0.02
COIMBATORE,32,RAVICHANDRAN,Independent,271,1,272,0.02
COIMBATORE,33,DURAISAMY A,Independent,263,3,266,0.02
COIMBATORE,34,ZAHIR HUSSAIN,Independent,259,1,260,0.02
COIMBATORE,35,BOOBALAN,Independent,252,1,253,0.02
COIMBATORE,36,NOORMUHAMAD A,Independent,232,2,234,0.02
COIMBATORE,37,PASUPATHI S,Independent,170,3,173,0.01
COIMBATORE,38,NOTA,None of the Above,11677,111,11788,0.86
POLLACHI,1,ESWARASAMY K,DMK,530742,2635,533377,47.37
POLLACHI,2,KARTHIKEYAN A,AIADMK,280230,1105,281335,24.98
POLLACHI,3,VASANTHARAJAN K,BJP,221945,1409,223354,19.84
POLLACHI,4,SURESHKUMAR N,Naam Tamilar,57962,234,58196,5.17
POLLACHI,5,PRAKASH P,Independent,2834,17,2851,0.25
POLLACHI,6,BENJAMINKIRUBAKARAN J,Bahujan Samaj Party,2267,17,2284,0.2
POLLACHI,7,VASANTHAKUMAR T,Independent,2186,4,2190,0.19
POLLACHI,8,RAMASAMY K,Independent,1816,9,1825,0.16
POLLACHI,9,ESWARASAMY K,Independent,1775,15,1790,0.16
POLLACHI,10,GOPALAKRISHNAN M,New Generation Peopleâ€™s Party,1127,6,1133,0.1
POLLACHI,11,KALIMUTHU S,Independent,976,5,981,0.09
POLLACHI,12,KARTHIKEYAN D,Independent,600,19,619,0.05
POLLACHI,13,NOOR MUHAMAD A,Independent,599,6,605,0.05
POLLACHI,14,KARTHIKEYAN P,Independent,548,19,567,0.05
POLLACHI,15,KARTHIKEYAN D,Independent,433,2,435,0.04
POLLACHI,16,NOTA,None of the Above,14399,104,14503,1.29
DINDIGUL,1,SACHITHANANTHAM R,Communist Party of India  (Marxist),667391,2758,670149,58.29
DINDIGUL,2,MOHAMED MUBARAK M A,AIADMK,225492,836,226328,19.69
DINDIGUL,3,THILGABAMA M,Pattali Makkal Katchi,111013,1490,112503,9.79
DINDIGUL,4,KAILAI RAJAN D,Naam Tamilar,96891,954,97845,8.51
DINDIGUL,5,RAJKUMAR R,Independent,4410,6,4416,0.38
DINDIGUL,6,NATCHIMUTHU S,Bahujan Samaj Party,4231,53,4284,0.37
DINDIGUL,7,DINESHKUMAR S,All India Youth Development Party,2411,23,2434,0.21
DINDIGUL,8,MURUGESAN (A) VISHNU MURUGESAN C,Independent,2004,4,2008,0.17
DINDIGUL,9,ANGUCHAMY M,Independent,1286,4,1290,0.11
DINDIGUL,10,SURESH K,Independent,1254,3,1257,0.11
DINDIGUL,11,ARUMUGAM R,Independent,1078,11,1089,0.09
DINDIGUL,12,SABARINATH S,Independent,1001,10,1011,0.09
DINDIGUL,13,ANBUROSE D,Independent,997,15,1012,0.09
DINDIGUL,14,PALANISAMY K,Independent,941,8,949,0.08
DINDIGUL,15,SATHISH KANNA G T,Independent,914,12,926,0.08
DINDIGUL,16,NOTA,None of the Above,21860,260,22120,1.92
KARUR,1,JOTHIMANI. S,INC,531829,3077,534906,47.25
KARUR,2,THANGAVEL. L,AIADMK,366209,1881,368090,32.52
KARUR,3,SENTHILNATHAN. V.V,BJP,101517,965,102482,9.05
KARUR,4,KARUPPAIYA. R,Naam Tamilar,86962,541,87503,7.73
KARUR,5,SANKARAN. S,Bahujan Samaj Party,2665,15,2680,0.24
KARUR,6,SAKTHIVEL. R,Independent,2391,22,2413,0.21
KARUR,7,ABILAZAN. N,Independent,1916,5,1921,0.17
KARUR,8,KARTHIKPERUMAL. R,Independent,1808,1,1809,0.16
KARUR,9,KATHIRAVAN. P,Independent,1445,3,1448,0.13
KARUR,10,KARUNAMOORTHY. S,Independent,1278,-,1278,0.11
KARUR,11,MOHAMED NAZEEM. S,Independent,938,-,938,0.08
KARUR,12,PALANISAMY. N.A,Independent,934,-,934,0.08
KARUR,13,SHANMUGAM. N,Samaniya Makkal Nala Katchi,924,5,929,0.08
KARUR,14,KALAIRAJ. K,Independent,809,2,811,0.07
KARUR,15,JOTHIMANI. A.K,Independent,805,3,808,0.07
KARUR,16,KANNAN. T,Independent,782,6,788,0.07
KARUR,17,JOTHIMANI. S,Independent,774,6,780,0.07
KARUR,18,SATHASIVAM. R,Independent,728,1,729,0.06
KARUR,19,MANIKANDAN. K,Independent,685,-,685,0.06
KARUR,20,KOSAMALAR. P,Independent,641,3,644,0.06
KARUR,21,MURUGESAN. K,Ganasangam Party of India,628,2,630,0.06
KARUR,22,MAHESWARAN. A,Independent,589,1,590,0.05
KARUR,23,REGIS THIYAGARAJAN. V.G.A,Independent,570,2,572,0.05
KARUR,24,VINCENT. F,Anti Corruption Dynamic Party,510,5,515,0.05
KARUR,25,NATRAYAN. R,Independent,503,-,503,0.04
KARUR,26,BANUMATHY. S,Independent,494,2,496,0.04
KARUR,27,UMADEVI. S,Independent,452,1,453,0.04
KARUR,28,VARADAN. M,Independent,428,1,429,0.04
KARUR,29,MURALI. M,Independent,417,-,417,0.04
KARUR,30,SAKTHIVEL. N,Independent,414,1,415,0.04
KARUR,31,BABU. G,Independent,387,-,387,0.03
KARUR,32,JAFAR ALI. A,Independent,368,3,371,0.03
KARUR,33,PRABHU. G,Independent,354,-,354,0.03
KARUR,34,PALANIVEL. P,Independent,350,-,350,0.03
KARUR,35,ANBAZHAGAN. T,Independent,338,1,339,0.03
KARUR,36,MURUGESAN. P,Independent,327,-,327,0.03
KARUR,37,SOWMIYA. R,Independent,307,3,310,0.03
KARUR,38,SATHISHKUMAR. S,Independent,304,2,306,0.03
KARUR,39,DHURAIYARASAN. P,Independent,273,2,275,0.02
KARUR,40,VINOTH KUMAR. N,Independent,273,3,276,0.02
KARUR,41,SATHIS KUMAR. C,Independent,258,9,267,0.02
KARUR,42,THIRUGNANAM. M,Independent,253,5,258,0.02
KARUR,43,SATHISH. P,Independent,241,3,244,0.02
KARUR,44,MAHAMUNI. A,Independent,213,-,213,0.02
KARUR,45,RAJAPANDIAN. K,Independent,207,2,209,0.02
KARUR,46,JOTHIVEL. A,Independent,206,-,206,0.02
KARUR,47,BASKARAN. N,Independent,205,-,205,0.02
KARUR,48,PUSHPARAJ. N,Independent,199,-,199,0.02
KARUR,49,NARENDRAKUMAR. G,Independent,197,-,197,0.02
KARUR,50,PRASANTH. S,Independent,194,-,194,0.02
KARUR,51,SUBASH MALAYALAM. T,Independent,186,-,186,0.02
KARUR,52,NAGESVARAN. P,Independent,185,-,185,0.02
KARUR,53,DANIYA. P,Independent,165,-,165,0.01
KARUR,54,SIVAKUMAR. V,Independent,150,1,151,0.01
KARUR,55,NOTA,None of the Above,8174,101,8275,0.73
TIRUCHIRAPPALLI,1,DURAI VAIKO,MDMK,538877,3336,542213,51.35
TIRUCHIRAPPALLI,2,KARUPPAIAH. P,AIADMK,227445,1674,229119,21.7
TIRUCHIRAPPALLI,3,RAJESSH. T,Naam Tamilar,106752,706,107458,10.18
TIRUCHIRAPPALLI,4,SENTHILNATHAN. P,AMMK,99561,1186,100747,9.54
TIRUCHIRAPPALLI,5,SELVARAJ. S,Independent,14781,15,14796,1.4
TIRUCHIRAPPALLI,6,DAMODARAN. S,Independent,5138,28,5166,0.49
TIRUCHIRAPPALLI,7,ALLIMUTHU. M,Bahujan Samaj Party,4353,78,4431,0.42
TIRUCHIRAPPALLI,8,RAJENDRAN. S,Independent,3489,10,3499,0.33
TIRUCHIRAPPALLI,9,JEEVANANTHAM. M,Independent,2879,73,2952,0.28
TIRUCHIRAPPALLI,10,SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2587,59,2646,0.25
TIRUCHIRAPPALLI,11,KARUPPIAH. S,Independent,2156,15,2171,0.21
TIRUCHIRAPPALLI,12,BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,2120,163,2283,0.22
TIRUCHIRAPPALLI,13,SATHIS KUMAR. S,Independent,2048,4,2052,0.19
TIRUCHIRAPPALLI,14,KAVITHA. S,Independent,1719,17,1736,0.16
TIRUCHIRAPPALLI,15,NAGARAJAN. M,Independent,1656,8,1664,0.16
TIRUCHIRAPPALLI,16,GOVINDARASU. P,Independent,1562,4,1566,0.15
TIRUCHIRAPPALLI,17,ANBIN AMUDHAN. R,Independent,1492,6,1498,0.14
TIRUCHIRAPPALLI,18,DURAIRAJ. A,Independent,1455,8,1463,0.14
TIRUCHIRAPPALLI,19,SASIKUMAR. P,Independent,1346,6,1352,0.13
TIRUCHIRAPPALLI,20,PANNEERSELVAM. P,Independent,1255,8,1263,0.12
TIRUCHIRAPPALLI,21,DURAI. S,Independent,1198,4,1202,0.11
TIRUCHIRAPPALLI,22,ANAND SELVARAJ,Independent,1172,6,1178,0.11
TIRUCHIRAPPALLI,23,SANKAR. R,Independent,1162,4,1166,0.11
TIRUCHIRAPPALLI,24,AMBIVENKATESAN,Independent,972,6,978,0.09
TIRUCHIRAPPALLI,25,DURAI. T,Independent,877,3,880,0.08
TIRUCHIRAPPALLI,26,SATHYAMURTHY. T,Independent,826,8,834,0.08
TIRUCHIRAPPALLI,27,VIJAYAKUMAR. P,Independent,797,5,802,0.08
